0,CombatZoneResize,133,251,508,391,TLResume,,
0,HeartTeleport,320,376,,,,,
0,HeartMode,1,,,,,,
0,TLPause,,,,,,,
0,SansTorso,shrug,,,,,,
0,sanshead,wink,,,,,,
0,SansText,what?,,,,,,
0,SansText,you think i'm just gonna      stand there and take it?,,,,,,
0,SansTorso,default,,,,,,
0,sanshead,default,,,,,,
0.2,BoneVRepeat,128,257,85,0,160,1,120
0,BoneVRepeat,128,366,20,0,160,1,120
0,BoneVRepeat,503,257,85,2,160,1,120
0,BoneVRepeat,503,366,20,2,160,1,120
0,BoneV,68,257,130,0,100,2,
0,BoneV,563,257,130,2,100,2,
0,BoneV,-52,257,130,0,80,1,
0,BoneV,683,257,130,2,80,1,
1,BoneV,128,330,60,0,200,,
0,BoneV,508,330,60,2,200,,
0.3,BoneV,128,251,80,0,200,,
0,BoneV,508,251,80,2,200,,
0,BoneVRepeat,128,257,85,0,120,1,120
0,BoneVRepeat,128,366,20,0,120,1,120
0,BoneVRepeat,503,257,85,2,120,1,120
0,BoneVRepeat,503,366,20,2,120,1,120
1,BoneVRepeat,128,257,105,0,200,2,150
0,BoneVRepeat,128,376,10,0,200,2,150
0,BoneVRepeat,503,257,105,2,200,2,150
0,BoneVRepeat,503,376,10,2,200,2,150
2,BoneVRepeat,128,257,105,0,180,4,85
0,BoneVRepeat,128,376,10,0,180,4,85
0,BoneVRepeat,503,257,105,2,180,4,85
0,BoneVRepeat,503,376,10,2,180,4,85
3,BoneV,68,257,130,0,80,2,
0,BoneV,563,257,130,2,80,1,
0.4,bonevRepeat,526,361,30,2,250,1,
0,bonevRepeat,541,356,35,2,250,1,
0,bonevRepeat,556,351,40,2,250,1,
0,bonevRepeat,571,346,45,2,250,1,
0,bonevRepeat,586,341,50,2,250,1,
0,bonevRepeat,601,346,45,2,250,1,
0,bonevRepeat,616,351,40,2,250,1,
0,bonevRepeat,631,356,35,2,250,1,
0,bonevRepeat,646,361,30,2,250,1,

0,bonevRepeat,526,251,80,2,250,1,
0,bonevRepeat,541,251,75,2,250,1,
0,bonevRepeat,556,251,70,2,250,1,
0,bonevRepeat,571,251,65,2,250,1,
0,bonevRepeat,586,251,60,2,250,1,
0,bonevRepeat,601,251,65,2,250,1,
0,bonevRepeat,616,251,70,2,250,1,
0,bonevRepeat,631,251,75,2,250,1,
0,bonevRepeat,646,251,80,2,250,1,

0,bonevRepeat,115,361,30,0,250,1,
0,bonevRepeat,100,356,35,0,250,1,
0,bonevRepeat,85,351,40,0,250,1,
0,bonevRepeat,70,346,45,0,250,1,
0,bonevRepeat,55,341,50,0,250,1,
0,bonevRepeat,40,346,45,0,250,1,
0,bonevRepeat,25,351,40,0,250,1,
0,bonevRepeat,10,356,35,0,250,1,
0,bonevRepeat,-5,361,30,0,250,1,

0,bonevRepeat,115,251,80,0,250,1,
0,bonevRepeat,100,251,75,0,250,1,
0,bonevRepeat,85,251,70,0,250,1,
0,bonevRepeat,70,251,65,0,250,1,
0,bonevRepeat,55,251,60,0,250,1,
0,bonevRepeat,40,251,65,0,250,1,
0,bonevRepeat,25,251,70,0,250,1,
0,bonevRepeat,10,251,75,0,250,1,
0,bonevRepeat,-5,251,80,0,250,1,

1,BoneV,68,257,130,0,300,1,
0,BoneV,563,257,130,2,300,2,

2,EndAttack,,,,,,,
0.6,SET,Loop,999,,,,,
0,SUB,Loop,$Loop,1,,,,
0,BoneH,-120,425,120,0,300,,
0,BoneH,-120,435,120,0,300,,
0,BoneH,-120,445,120,0,300,,
0,BoneH,-120,455,120,0,300,,
0,BoneH,-120,465,120,0,300,,
1.8,JMPNZ,82,$Loop,,,,,
