0,CombatZoneResize,133,201,508,391,TLResume,,,
.,HeartTeleport,320,376,,,,,,
0,HeartMode,1,,,,,,,
0,TLPause,,,,,,,,
0,sanshead,Closedeyes,,,,,,,
0,sanstext,until suddenly everything      ends,,,,,,,
0,sanshead,Default,,,,,,,
0,BoneStab,1,40,0.4,999,,,,
0,PlatformRepeat,508,331,50,2,100,15,100,
0,BoneStab,3,20,0.4,999,,,,
0,BonevRepeat,532,311,60,2,100,15,100,
0,PlatformRepeat,133,273,50,0,100,15,100,
0,BonevRepeat,63,273,30,0,100,15,100,
1,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,1,0,0,$HeartX,151,90,0.4,0.2
0,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,1,0,0,133,$HeartY,0,0.4,0.2
0,GasterBlaster,1,0,0,508,$HeartY,180,0.4,0.2
0.2,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,1,0,0,$HeartX,151,90,0.2,0.2
1,GetHeartpos,HeartX,HeartY,,,,,,
0,SUB,HeartX,$HeartX,200,,,,,
0,GasterBlaster,0,0,0,$HeartX,$HeartY,0,0.7,0.08
0,GetHeartpos,HeartX,HeartY,,,,,,
0,SUB,HeartY,$HeartY,200,,,,,
0,GasterBlaster,0,0,0,$HeartX,$HeartY,90,0.7,0.08
0,GetHeartpos,HeartX,HeartY,,,,,,
0,ADD,HeartX,$HeartX,200,,,,,
0,GasterBlaster,0,0,0,$HeartX,$HeartY,180,0.7,0.08
0,GetHeartpos,HeartX,HeartY,,,,,,
0,ADD,HeartY,$HeartY,200,,,,,
0,GasterBlaster,0,0,0,$HeartX,$HeartY,270,0.7,0.08
0,GetHeartpos,HeartX,HeartY,,,,,,
0,SUB,HeartX,$HeartX,200,,,,,
0,SUB,HeartY,$HeartY,200,,,,,
0,GasterBlaster,0,0,0,$HeartX,$HeartY,45,0.7,0.08
0,GetHeartpos,HeartX,HeartY,,,,,,
0,ADD,HeartX,$HeartX,200,,,,,
0,SUB,HeartY,$HeartY,200,,,,,
0,GasterBlaster,0,0,0,$HeartX,$HeartY,135,0.7,0.08
0,GetHeartpos,HeartX,HeartY,,,,,,
0,ADD,HeartX,$HeartX,200,,,,,
0,ADD,HeartY,$HeartY,200,,,,,
0,GasterBlaster,0,0,0,$HeartX,$HeartY,225,0.7,0.08
0,GetHeartpos,HeartX,HeartY,,,,,,
0,SUB,HeartX,$HeartX,200,,,,,
0,ADD,HeartY,$HeartY,200,,,,,
0,GasterBlaster,0,0,0,$HeartX,$HeartY,315,0.7,0.1
1.7,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,1,0,0,$HeartX,151,90,0.4,0.2
0,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,1,0,0,133,$HeartY,0,0.4,0.2
0,GasterBlaster,1,0,0,508,$HeartY,180,0.4,0.2
