0,CombatZoneResize,133,251,508,391,TLResume,,,
0,HeartTeleport,320,304,,,,,,
0,HeartMode,1,,,,,,,
0,TLPause,,,,,,,,
0,SansHead,Wink,,,,,,,
0,SansTorso,shrug,,,,,,,
0,sanstext,welp it was worth ashot,,,,,,,
0,SansHead,noeyes,,,,,,,
0,sanstext,guess you like doing things       the hard ways huh?,,,,,,,
0,SET,Loop,5,,,,,,
0,:RndAttack,,,,,,,,
0,BlackScreen,1,,,,,,,
0,Sound,Flash,,,,,,,
0.4,BlackScreen,0,,,,,,,
0,Sound,Flash,,,,,,,
0,JMPZ,End,$Loop,,,,,,
0,SUB,Loop,$Loop,1,,,,,
0,RND,Jump,5,,,,,,
0,ADD,Jump,$Jump,1,,,,,
0,JMPREL,$Jump,,,,,,,
0,JMPABS,Attack0,,,,,,,
0,JMPABS,Attack1,,,,,,,
0,JMPABS,Attack2,,,,,,,
0,JMPABS,Attack3,,,,,,,
0,JMPABS,Attack4,,,,,,,
0,:Attack0,,,,,,,,
0,sound,Flash,,,,,,,
0,CombatZoneResize,241,226,406,391,TLResume,,,
0,HeartTeleport,320,304,,,,,,
0,HeartMode,0,,,,,,,
0,TLPause,,,,,,,,
0,HeartMaxFallSpeed,300,,,,,,,
0.2,BoneHRepeat,130,-10,200,1,500,6,183,
0,BoneHRepeat,330,650,200,3,500,6,183,
2.9,HeartMaxFallSpeed,150,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
0,JMPABS,RndAttack,,,,,,,
0,:Attack1,,,,,,,,
0,CombatZoneResizeInstant,121,276,526,391,,,,
0,HeartMode,1,,,,,,,
0,HeartTeleport,320,376,,,,,,
0,BoneV,128,286,100,0,240,1,,
0,BoneV,56,366,20,0,240,0,,
0,BoneV,24,286,100,0,240,0,,
0,BoneV,512,286,100,2,240,1,,
0,BoneV,584,366,20,2,240,0,,
0,BoneV,616,286,100,2,240,0,,
0,BoneStab,3,60,0,1.1,,,,
1.1,JMPABS,RndAttack,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
0,:Attack2,,,,,,,,
0,CombatZoneResizeinstant,241,226,406,361,,,,
0,HeartTeleport,320,264,,,,,,
0,CombatZoneSpeed,480,,,,,,,
0,HeartMode,0,,,,,,,



0,rnd,jj,640,,,,,,
0,rnd,ko,480,,,,,,
0,GasterBlaster,5,$jj,$ko,$jj,$ko,0,1,0.02333
0,GasterBlaster,5,$jj,$ko,$jj,$ko,90,1,0.02333
0,GasterBlaster,5,$jj,$ko,$jj,$ko,180,1,0.02333
0,GasterBlaster,5,$jj,$ko,$jj,$ko,270,1,0.02333
0,GasterBlaster,5,$jj,$ko,$jj,$ko,45,1,0.02333
0,GasterBlaster,5,$jj,$ko,$jj,$ko,135,1,0.02333
0,GasterBlaster,5,$jj,$ko,$jj,$ko,225,1,0.02333
0,GasterBlaster,5,$jj,$ko,$jj,$ko,315,1,0.02333
0,rnd,jj,640,,,,,,
0,rnd,ko,480,,,,,,
0,GasterBlaster,5,$jj,$ko,$jj,$ko,0,1,0.02333
0,GasterBlaster,5,$jj,$ko,$jj,$ko,90,1,0.02333
0,GasterBlaster,5,$jj,$ko,$jj,$ko,180,1,0.02333
0,GasterBlaster,5,$jj,$ko,$jj,$ko,270,1,0.02333
0,GasterBlaster,5,$jj,$ko,$jj,$ko,45,1,0.02333
0,GasterBlaster,5,$jj,$ko,$jj,$ko,135,1,0.02333
0,GasterBlaster,5,$jj,$ko,$jj,$ko,225,1,0.02333
0,GasterBlaster,5,$jj,$ko,$jj,$ko,315,1,0.02333
0,rnd,jj,640,,,,,,
0,rnd,ko,480,,,,,,
0,GasterBlaster,5,$jj,$ko,$jj,$ko,0,1,0.02333
0,GasterBlaster,5,$jj,$ko,$jj,$ko,90,1,0.02333
0,GasterBlaster,5,$jj,$ko,$jj,$ko,180,1,0.02333
0,GasterBlaster,5,$jj,$ko,$jj,$ko,270,1,0.02333
0,GasterBlaster,5,$jj,$ko,$jj,$ko,45,1,0.02333
0,GasterBlaster,5,$jj,$ko,$jj,$ko,135,1,0.02333
0,GasterBlaster,5,$jj,$ko,$jj,$ko,225,1,0.02333
0,GasterBlaster,5,$jj,$ko,$jj,$ko,315,1,0.02333
0,rnd,jj,640,,,,,,
0,rnd,ko,480,,,,,,
0,GasterBlaster,5,$jj,$ko,$jj,$ko,0,1,0.02333
0,GasterBlaster,5,$jj,$ko,$jj,$ko,90,1,0.02333
0,GasterBlaster,5,$jj,$ko,$jj,$ko,180,1,0.02333
0,GasterBlaster,5,$jj,$ko,$jj,$ko,270,1,0.02333
0,GasterBlaster,5,$jj,$ko,$jj,$ko,45,1,0.02333
0,GasterBlaster,5,$jj,$ko,$jj,$ko,135,1,0.02333
0,GasterBlaster,5,$jj,$ko,$jj,$ko,225,1,0.02333
0,GasterBlaster,5,$jj,$ko,$jj,$ko,315,1,0.02333
2,JMPABS,RndAttack,,,,,,,
0,:Attack3,,,,,,,,
0,CombatZoneResize,241,226,406,391,TLResume,,,
0,HeartTeleport,320,304,,,,,,
0,HeartMode,0,,,,,,,
0,TLPause,,,,,,,,
0,HeartMaxFallSpeed,300,,,,,,,
0.2,BoneHRepeat,130,-10,200,1,500,6,183,
0,BoneHRepeat,330,650,200,3,500,6,183,
2.9,HeartMaxFallSpeed,150,,,,,,,
0,JMPABS,RndAttack,,,,,,,
0,:Attack3,,,,,,,,
0,CombatZoneResize,91,226,556,391,,,,
0,HeartTeleport,320,371,,,,,,
0,CombatZoneSpeed,480,,,,,,,
0,HeartMode,1,,,,,,,
0,BlackScreen,1,,,,,,,
0.4,BlackScreen,0,,,,,,,

0.5,SET,Loop,2,,,,,,
0,SUB,Loop,$Loop,1,,,,,
0,SineBones,10,15,380,95,,,,
0,SineBones,10,-15,380,95,,,,
1,JMPNZ,131,$Loop,,,,,,
0.4,JMPABS,RndAttack,,,,,,,
0,:Attack4,,,,,,,,
0,CombatZoneResizeInstant,239,226,404,391,,,,
0,HeartMode,1,,,,,,,
0,HeartTeleport,320,379,,,,,,
0,GasterBlaster,0,189,246,189,246,0,0.4,0.3
0,GasterBlaster,0,259,166,259,166,90,0.4,0.3
0,GasterBlaster,0,449,366,449,366,180,0.4,0.3
0,GasterBlaster,0,379,446,379,446,270,0.4,0.3
0,GasterBlaster,0,320,304,320,304,45,0.4,0.3
0,GasterBlaster,0,320,304,320,304,135,0.4,0.3
0,GasterBlaster,0,320,304,320,304,225,0.4,0.3
0,GasterBlaster,0,320,304,320,304,315,0.4,0.3
0.8,JMPABS,RndAttack,,,,,,,
0,:End,,,,,,,,
0,CombatZoneResizeInstant,33,251,608,391,,,,
0,EndAttack,,,,,,,,
0.6,SET,Loop,999,,,,,,
0,SUB,Loop,$Loop,1,,,,,
0,GasterBlaster,1,-40,450,625,450,180,0.6,0.23333
2,JMPNZ,153,$Loop,,,,,,
