0,CombatZoneResize,239,226,404,391,TLResume,,,
0,HeartTeleport,320,304,,,,,,
0,HeartMode,0,,,,,,,
0,TLPause,,,,,,,,
0,sanshead,Closedeyes,,,,,,,
0,sanstext,and if you keep pushing         me...,,,,,,,
0,sanshead,noeyes,,,,,,,
0,sanstext,then i'll be forced to ues      my SPECIA ATTACK,,,,,,,
0,sanshead,DEFAULT,,,,,,,
0,SET,Loop,5,,,,,,
0,:RndAttack,,,,,,,,
0,BlackScreen,1,,,,,,,
0,Sound,Flash,,,,,,,
0.13333,BlackScreen,0,,,,,,,
0,Sound,Flash,,,,,,,
0,JMPZ,End,$Loop,,,,,,
0,SUB,Loop,$Loop,1,,,,,
0,RND,Jump,9,,,,,,
0,ADD,Jump,$Jump,1,,,,,
0,JMPREL,$Jump,,,,,,,
0,JMPABS,Attack0,,,,,,,
0,JMPABS,Attack1,,,,,,,
0,JMPABS,Attack2,,,,,,,
0,JMPABS,Attack3,,,,,,,
0,JMPABS,Attack4,,,,,,,
0,JMPABS,Attack5,,,,,,,
0,JMPABS,Attack6,,,,,,,
0,JMPABS,Attack7,,,,,,,
0,JMPABS,Attack8,,,,,,,
0,:Attack0,,,,,,,,
0,sound,Flash,,,,,,,
0,CombatZoneResize,241,226,406,391,TLResume,,,
0,HeartTeleport,320,304,,,,,,
0,HeartMode,0,,,,,,,
0,TLPause,,,,,,,,
0,HeartMaxFallSpeed,300,,,,,,,
0.2,BoneHRepeat,130,-10,200,1,500,6,183,
0,BoneHRepeat,330,650,200,3,500,6,183,
2.9,HeartMaxFallSpeed,150,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
0,JMPABS,RndAttack,,,,,,,
0,:Attack1,,,,,,,,
0,CombatZoneResizeInstant,121,276,526,391,,,,
0,HeartMode,1,,,,,,,
0,HeartTeleport,320,376,,,,,,
0,BoneV,128,286,100,0,240,1,,
0,BoneV,56,366,20,0,240,0,,
0,BoneV,24,286,100,0,240,0,,
0,BoneV,512,286,100,2,240,1,,
0,BoneV,584,366,20,2,240,0,,
0,BoneV,616,286,100,2,240,0,,
0,BoneStab,3,60,0,1.1,,,,
1.1,JMPABS,RndAttack,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
0,:Attack2,,,,,,,,
0,CombatZoneResizeinstant,241,226,406,361,,,,
0,HeartTeleport,320,264,,,,,,
0,CombatZoneSpeed,480,,,,,,,
0,HeartMode,0,,,,,,,



0,rnd,jj,640,,,,,,
0,rnd,ko,480,,,,,,
0,GasterBlaster,5,$jj,$ko,$jj,$ko,0,1,0.02333
0,GasterBlaster,5,$jj,$ko,$jj,$ko,90,1,0.02333
0,GasterBlaster,5,$jj,$ko,$jj,$ko,180,1,0.02333
0,GasterBlaster,5,$jj,$ko,$jj,$ko,270,1,0.02333
0,GasterBlaster,5,$jj,$ko,$jj,$ko,45,1,0.02333
0,GasterBlaster,5,$jj,$ko,$jj,$ko,135,1,0.02333
0,GasterBlaster,5,$jj,$ko,$jj,$ko,225,1,0.02333
0,GasterBlaster,5,$jj,$ko,$jj,$ko,315,1,0.02333
0,rnd,jj,640,,,,,,
0,rnd,ko,480,,,,,,
0,GasterBlaster,5,$jj,$ko,$jj,$ko,0,1,0.02333
0,GasterBlaster,5,$jj,$ko,$jj,$ko,90,1,0.02333
0,GasterBlaster,5,$jj,$ko,$jj,$ko,180,1,0.02333
0,GasterBlaster,5,$jj,$ko,$jj,$ko,270,1,0.02333
0,GasterBlaster,5,$jj,$ko,$jj,$ko,45,1,0.02333
0,GasterBlaster,5,$jj,$ko,$jj,$ko,135,1,0.02333
0,GasterBlaster,5,$jj,$ko,$jj,$ko,225,1,0.02333
0,GasterBlaster,5,$jj,$ko,$jj,$ko,315,1,0.02333
0,rnd,jj,640,,,,,,
0,rnd,ko,480,,,,,,
0,GasterBlaster,5,$jj,$ko,$jj,$ko,0,1,0.02333
0,GasterBlaster,5,$jj,$ko,$jj,$ko,90,1,0.02333
0,GasterBlaster,5,$jj,$ko,$jj,$ko,180,1,0.02333
0,GasterBlaster,5,$jj,$ko,$jj,$ko,270,1,0.02333
0,GasterBlaster,5,$jj,$ko,$jj,$ko,45,1,0.02333
0,GasterBlaster,5,$jj,$ko,$jj,$ko,135,1,0.02333
0,GasterBlaster,5,$jj,$ko,$jj,$ko,225,1,0.02333
0,GasterBlaster,5,$jj,$ko,$jj,$ko,315,1,0.02333
0,rnd,jj,640,,,,,,
0,rnd,ko,480,,,,,,
0,GasterBlaster,5,$jj,$ko,$jj,$ko,0,1,0.02333
0,GasterBlaster,5,$jj,$ko,$jj,$ko,90,1,0.02333
0,GasterBlaster,5,$jj,$ko,$jj,$ko,180,1,0.02333
0,GasterBlaster,5,$jj,$ko,$jj,$ko,270,1,0.02333
0,GasterBlaster,5,$jj,$ko,$jj,$ko,45,1,0.02333
0,GasterBlaster,5,$jj,$ko,$jj,$ko,135,1,0.02333
0,GasterBlaster,5,$jj,$ko,$jj,$ko,225,1,0.02333
0,GasterBlaster,5,$jj,$ko,$jj,$ko,315,1,0.02333
2,JMPABS,RndAttack,,,,,,,
0,:Attack3,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
0,CombatZoneResize,91,226,556,391,,,,
0,HeartTeleport,320,371,,,,,,
0,CombatZoneSpeed,480,,,,,,,
0,HeartMode,1,,,,,,,
0,BlackScreen,1,,,,,,,
0.13333,BlackScreen,0,,,,,,,
0,Sound,Flash,,,,,,,
0.5,SET,Loop,2,,,,,,
0,SUB,Loop,$Loop,1,,,,,
0,SineBones,10,15,380,95,,,,
0,SineBones,10,-15,380,95,,,,
1,JMPNZ,134,$Loop,,,,,,

0.4,JMPABS,RndAttack,,,,,,,
0,:Attack4,,,,,,,,
0,CombatZoneResizeInstant,239,226,404,391,,,,
0,HeartMode,1,,,,,,,
0,HeartTeleport,320,379,,,,,,
0,GasterBlaster,0,189,246,189,246,0,0.4,0.3
0,GasterBlaster,0,259,166,259,166,90,0.4,0.3
0,GasterBlaster,0,449,366,449,366,180,0.4,0.3
0,GasterBlaster,0,379,446,379,446,270,0.4,0.3
0,GasterBlaster,0,320,304,320,304,45,0.4,0.3
0,GasterBlaster,0,320,304,320,304,135,0.4,0.3
0,GasterBlaster,0,320,304,320,304,225,0.4,0.3
0,GasterBlaster,0,320,304,320,304,315,0.4,0.3
0.8,JMPABS,RndAttack,,,,,,,
0,:Attack5,,,,,,,,
0,CombatZoneResizeInstant,121,276,526,391,,,,
0,HeartMode,1,,,,,,,
0,HeartTeleport,330,304,,,,,,
0,Platform,309,314,41,0,0,,,
0,Platform,309,354,41,0,0,,,
0,BoneVRepeat,121,364,30,2,0,25,16,
0,RND,Side,2,,,,,,
0,JMPZ,Attack5Other,$Side,,,,,,
0,BoneV,521,280,35,2,240,,,
0,BoneV,1,319,65,0,240,,,
0,BoneV,711,280,35,2,240,,,
0,BoneV,-189,319,65,0,240,,,
3,JMPABS,RndAttack,,,,,,,
0,:Attack5Other,,,,,,,,
0,BoneV,119,280,35,0,240,,,
0,BoneV,639,319,65,2,240,,,
0,BoneV,-70,280,35,0,240,,,
0,BoneV,829,319,65,2,240,,,
3,JMPABS,RndAttack,,,,,,,
0,:Attack6,,,,,,,,
0,CombatZoneResizeInstant,241,226,406,391,,,,
0,HeartMode,0,,,,,,,
0,HeartTeleport,320,304,,,,,,
0,RND,Rot,2,,,,,,
0,JMPZ,Attack6Other,$Rot,,,,,,
0,GasterBlaster,0,262,226,262,226,90,0.6,0.26666
0,GasterBlaster,0,323,226,323,226,90,0.6,0.26666
0,GasterBlaster,0,383,226,383,226,90,0.6,0.26666
0,GasterBlaster,0,241,226,241,226,0,0.6,0.26666
